"","id","loc","start","dura","provider","dname","type","pktsize","numreq","countDummy"
"1",11000752,"东中院二区",1411439886390,14799,"百度1","baidu.com","搜索导航",2182,2,1
"2",11000752,"东中院二区",1411442145178,203010,"网易","163.com","门户",261571,39,1
"3",11000752,"东中院二区",1411442145178,203010,"百度1","baidu.com","搜索导航",172538,33,1
"4",11000752,"东中院二区",1411442145178,203010,"谷歌广告1","doubleclick.net","广告",34719,5,1
"5",11000752,"东中院二区",1411442145178,203010,"126网易免费邮箱","126.com","电子邮箱",33058,5,1
"6",11000752,"东中院二区",1411442145178,203010,"谷歌分析","google-analytics.com","数码科技",18386,2,1
"7",11000752,"东中院二区",1411442145178,203010,"谷歌链接","googlesyndication.com","搜索导航",12952,2,1
"8",11000752,"东中院二区",1411442145178,203010,"谷歌搜索2","google.com","搜索导航",1668,1,1
"9",11000752,"东中院二区",1411442145178,203010,"个性化谷歌广告","gstatic.com","广告",1428,1,1
"10",11000752,"东中院二区",1411442145178,203010,"126邮箱","126.com","电子邮箱",700,1,1
"11",11000752,"东中院二区",1411442145178,203010,"网易3","netease.com","门户",437,1,1
"12",11000752,"东中院三区",1411442842421,0,"腾讯微信","qq.com","即时通讯",395,1,1
"13",11000752,"学生事务中心-铁生馆",1411443156277,6523,"百度1","baidu.com","搜索导航",15887,2,1
"14",11000752,"学生宿舍W",1411573440149,55,"腾讯微信","qq.com","即时通讯",1150,1,1
"15",11000752,"东中院二区",1411956941699,335969,"百度1","baidu.com","搜索导航",248455,88,1
"16",11000752,"东中院二区",1411956941699,335969,"携程","c-ctrip.com","旅游",132759,29,1
"17",11000752,"东中院二区",1411956941699,335969,"携程","ctrip.com","旅游",107146,13,1
"18",11000752,"东中院二区",1411956941699,335969,"谷歌搜索2","google.com.hk","搜索导航",13408,13,1
"19",11000752,"东中院二区",1411956941699,335969,"谷歌分析","google-analytics.com","数码科技",12705,3,1
"20",11000752,"东中院二区",1411956941699,335969,"腾讯微信","qq.com","即时通讯",3533,3,1
"21",11000752,"东中院二区",1411956941699,335969,"谷歌广告1","doubleclick.net","广告",2260,2,1
"22",11000752,"东中院二区",1411957618285,301945,"谷歌分析","google-analytics.com","数码科技",26382,4,1
"23",11000752,"东中院二区",1411957618285,301945,"accu天气","accu-weather.com","生活工具",20351,2,1
"24",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"百度1","baidu.com","搜索导航",2594141,279,1
"25",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"百度图片服务器","bdimg.com","图片服务",1069598,75,1
"26",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"风行网络电影","funshion.com","视频",201505,48,1
"27",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"谷歌链接","googlesyndication.com","搜索导航",201155,6,1
"28",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"微软","microsoft.com","数码科技",114082,14,1
"29",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"淘宝图片服务器1","taobaocdn.com","图片服务",113645,6,1
"30",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"acs86广告","acs86.com","广告",15960,6,1
"31",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"谷歌分析","google-analytics.com","数码科技",4383,4,1
"32",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"聚胜万合","mediav.com","广告",1824,1,1
"33",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"千千音乐在线","qianqian.com","音乐",1744,4,1
"34",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"谷歌广告1","doubleclick.net","广告",1391,1,1
"35",11000752,"媒体与设计实验室B楼",1413176420667,3230202,"腾讯网","qq.com","门户",1084,1,1
"36",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"百度1","baidu.com","搜索导航",68580,22,1
"37",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"微软","microsoft.com","数码科技",15576,2,1
"38",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"谷歌广告1","doubleclick.net","广告",11197,1,1
"39",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"谷歌广告2","googleadsserving.cn","广告",5689,4,1
"40",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"谷歌链接","googlesyndication.com","搜索导航",3780,3,1
"41",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"个性化谷歌广告","gstatic.com","广告",1679,2,1
"42",11000752,"媒体与设计实验室B楼",1413180046636,1296008,"千千音乐在线","qianqian.com","音乐",1308,3,1
"43",11000752,"东中院二区",1413249030600,128279,"谷歌广告1","doubleclick.net","广告",402421,22,1
"44",11000752,"东中院二区",1413249030600,128279,"土豆网视频服务器","tudouui.com","视频",105656,3,1
"45",11000752,"东中院二区",1413249030600,128279,"谷歌链接","googlesyndication.com","搜索导航",83405,18,1
"46",11000752,"东中院二区",1413249030600,128279,"土豆网图片服务器","tdimg.com","图片服务",55897,2,1
"47",11000752,"东中院二区",1413249030600,128279,"谷歌广告2","googleadsserving.cn","广告",15411,3,1
"48",11000752,"东中院二区",1413249030600,128279,"个性化谷歌广告","gstatic.com","广告",14892,8,1
"49",11000752,"东中院二区",1413249030600,128279,"三星电子","ospserver.net","数码科技",3281,2,1
"50",11000752,"东中院二区",1413249824366,938,"淘宝网","taobao.com","网上购物",23654,1,1
"51",11000752,"东中院二区",1413249824366,938,"谷歌链接","googlesyndication.com","搜索导航",6788,3,1
"52",11000752,"东中院二区",1413250248673,10441,"谷歌广告1","doubleclick.net","广告",304157,14,1
"53",11000752,"东中院二区",1413250248673,10441,"谷歌链接","googlesyndication.com","搜索导航",102637,8,1
"54",11000752,"东中院二区",1413250248673,10441,"个性化谷歌广告","gstatic.com","广告",1500,1,1
"55",11000752,"东中院二区",1413250718676,216771,"土豆网图片服务器","tdimg.com","图片服务",28168,1,1
"56",11000752,"东中院二区",1413250718676,216771,"谷歌链接","googlesyndication.com","搜索导航",11411,1,1
"57",11000752,"东中院二区",1413250718676,216771,"土豆网视频服务器","tudouui.com","视频",6458,1,1
"58",11000752,"东中院二区",1413250718676,216771,"腾讯微信","qq.com","即时通讯",1096,1,1
"59",11000752,"媒体与设计实验室B楼",1413783150411,1168162,"百度1","baidu.com","搜索导航",7325405,275,1
"60",11000752,"媒体与设计实验室B楼",1413783150411,1168162,"谷歌搜索2","google.com","搜索导航",358174,1,1
"61",11000752,"媒体与设计实验室B楼",1413783150411,1168162,"腾讯微信","qq.com","即时通讯",1101,1,1
"62",11000752,"媒体与设计实验室B楼",1413783150411,1168162,"百度空间","duapp.com","主页博客",708,1,1
"63",11000752,"媒体与设计实验室B楼",1413784873793,1470935,"百度1","baidu.com","搜索导航",826643,126,1
"64",11000752,"媒体与设计实验室B楼",1413784873793,1470935,"腾讯头像图片服务器","qlogo.cn","即时通讯",41224,16,1
"65",11000752,"媒体与设计实验室B楼",1413784873793,1470935,"谷歌分析","google-analytics.com","数码科技",31867,4,1
"66",11000752,"媒体与设计实验室B楼",1413784873793,1470935,"腾讯微信","qq.com","即时通讯",1805,2,1
"67",11000752,"媒体与设计实验室B楼",1413784873793,1470935,"谷歌搜索2","google.com","搜索导航",476,1,1
"68",11000752,"媒体与设计实验室B楼",1413787594347,320458,"百度1","baidu.com","搜索导航",74219,3,1
"69",11000752,"东中院二区",1413853331896,2160881,"百度1","baidu.com","搜索导航",4815332,125,1
"70",11000752,"东中院二区",1413853331896,2160881,"谷歌搜索2","google.com","搜索导航",99916,4,1
"71",11000752,"东中院二区",1413853331896,2160881,"谷歌广告1","doubleclick.net","广告",20259,3,1
"72",11000752,"东中院二区",1413853331896,2160881,"腾讯微信","qq.com","即时通讯",5960,2,1
"73",11000752,"东中院二区",1413853331896,2160881,"腾讯头像图片服务器","qlogo.cn","即时通讯",1423,1,1
"74",11000752,"东中院二区",1413856046327,293819,"谷歌链接","googlesyndication.com","搜索导航",7029,2,1
"75",11000752,"东中院二区",1413856046327,293819,"百度1","baidu.com","搜索导航",1849,2,1
"76",11000752,"东中院二区",1413856951127,1621624,"百度1","baidu.com","搜索导航",4021404,112,1
"77",11000752,"东中院二区",1413856951127,1621624,"加网","jiathis.com","移动软件",21235,3,1
"78",11000752,"东中院二区",1413856951127,1621624,"腾讯网","qq.com","门户",7733,2,1
"79",11000752,"东中院二区",1413860466725,30,"百度1","baidu.com","搜索导航",667,1,1
"80",11000752,"东中院二区",1413860908278,643277,"百度1","baidu.com","搜索导航",482251,32,1
"81",11000752,"东中院二区",1413860908278,643277,"谷歌广告1","doubleclick.net","广告",182056,15,1
"82",11000752,"东中院二区",1413860908278,643277,"网易","163.com","门户",55598,12,1
"83",11000752,"东中院二区",1413860908278,643277,"谷歌链接","googlesyndication.com","搜索导航",35847,6,1
"84",11000752,"东中院二区",1413860908278,643277,"淘宝网","taobao.com","网上购物",23654,1,1
"85",11000752,"东中院二区",1413860908278,643277,"谷歌广告2","googleadsserving.cn","广告",16903,4,1
"86",11000752,"东中院二区",1413860908278,643277,"淘宝图片服务器1","taobaocdn.com","图片服务",12844,1,1
"87",11000752,"东中院二区",1413860908278,643277,"腾讯微信","qq.com","即时通讯",11381,2,1
"88",11000752,"东中院二区",1413860908278,643277,"个性化谷歌广告","gstatic.com","广告",3288,2,1
"89",11000752,"媒体与设计实验室B楼",1413957637623,473365,"百度1","baidu.com","搜索导航",621753,66,1
"90",11000752,"媒体与设计实验室B楼",1413957637623,473365,"腾讯微信","qq.com","即时通讯",1673,2,1
